 year max_temp min_temp
0 2016 46 32
1 2016 47 31
2 2016 51 41
3 2016 52 38
4 2016 38 29
5 2016 44 31
6 2016 36 24
7 2016 32 9
8 2016 36 31
9 2016 43 33
10 2016 39 23
11 2016 30 4
12 2016 34 19
13 2016 42 35
